subjek,final_text,label,status,confidence
Sri Mulyani Indrawati,pajak yaa udah pajak makan koruptor bikin rakyat terima rela gue orang benci koruptor,negatif,manual,1.0
Purbaya Yudhi Sadewa,guru gembul cerdas mohon bikin vidio optimis bangga bangsa,positif,manual,1.0
Purbaya Yudhi Sadewa,prabowopurbayaamran sulaimankdmhoho alkafnex moga bantu bantu rakyat revolusioner iklas maju bangsa iniamin,positif,manual,1.0
Sri Mulyani Indrawati,cepat ambil tindak keluh rakyat negara inibuktikan pimpin amanah rakyat,positif,manual,1.0
Sri Mulyani Indrawati,tolong rampas hasil korupsi hukum mati koruptor nyabaru narikin pajaksekarang pajak dinaikin dikorupsiapa nggak kasihan rakyatnyakoplak,negatif,manual,1.0
Sri Mulyani Indrawati,berat susah cari uang berat rakyat mana hasil pajak kena pajak makan minum dll pikir,negatif,manual,1.0
Sri Mulyani Indrawati,warga dinaikin sing njoged,negatif,manual,1.0
Sri Mulyani Indrawati,tuju pajak ppn bayar udakudak putih,negatif,manual,1.0
Sri Mulyani Indrawati,mantap keren,positif,manual,1.0
Sri Mulyani Indrawati,mending kejar laku korupsi kembali negara uang bangun drpd jalan pintas naik tarif pajak pasti fix sengsara rakyat bangsa,negatif,manual,1.0
Sri Mulyani Indrawati,jeng sri jeng sri,netral,manual,1.0
Purbaya Yudhi Sadewa,sodor opung luhut gimana,netral,manual,1.0
Purbaya Yudhi Sadewa,guru mending ngajar banyak retorika sampean ngga lebih cari cuan sosmed,netral,manual,1.0
Purbaya Yudhi Sadewa,tau purbaya ngga duduk kursi sedia,netral,manual,1.0
Purbaya Yudhi Sadewa,contoh menteri coboy baikdan cerdas,positif,manual,1.0
Sri Mulyani Indrawati,tempo jos,netral,manual,1.0
Sri Mulyani Indrawati,sri solusi naik pajak naik buat awas pegawai pajak jujur ahlak hidupnsederhana makan gaji sri mundur,negatif,manual,1.0
Purbaya Yudhi Sadewa,biar liat songong gpp jabat gas biar ngerasain gaji guede ketulungan mantap,positif,manual,1.0
Sri Mulyani Indrawati,pajak ppn biaya gibran blusukan wapres masuk lorong lorong pasar pos lapor wapres ikhlas jalan blusukan pasar dam menteri kacau doktrin jokowi,negatif,manual,1.0
Purbaya Yudhi Sadewa,menkeu humble ramah disamperin disalamin moga lancar amanah emban tugas negara,positif,manual,1.0
Sri Mulyani Indrawati,malu baca konten nggak tarik,netral,manual,1.0
Sri Mulyani Indrawati,presiden prabowo keren cerdas luarbiasatapi baik srimulyani uang aman nyaman nkri,positif,manual,1.0
Purbaya Yudhi Sadewa,ditakutin mafia asing biokrat indo yah sampe kalah pilpres benci jokowi krn beliau tau hny naik brani sep,negatif,manual,1.0
Purbaya Yudhi Sadewa,mantaff kreen pis mugia amanah purbaya,positif,manual,1.0
Sri Mulyani Indrawati,hutang tingkat pajak tingkat special skill,negatif,manual,1.0
Sri Mulyani Indrawati,mantap bener jozzz konoha mang top,positif,manual,1.0
Sri Mulyani Indrawati,semangat,positif,manual,1.0
Purbaya Yudhi Sadewa,top purbaya top rakyat top dukung,positif,manual,1.0
Purbaya Yudhi Sadewa,lumayan jeli kang guru gembulselama purbaya tindak senggol penting politik penting selubung prabowopurbaya pertahankankarena prabowo politikus elite tindak sentuh politik kekang titik singgung bijak perintah prabowo sikap tri sendiriselama idealisme purbaya sentuh penting politik prabowo fikir gantimaksud tegas purbaya benah ekonomi smruhan politik penting politik prabowo skarang purbaya lurus lembut bijak,positif,manual,1.0
Sri Mulyani Indrawati,uud rubah dalih uud lucu taktik licik cari celah uud negara sengsara rakyat rampok negara mantap akallan rusak negara,negatif,manual,1.0
Sri Mulyani Indrawati,menteri era jkw tugas raka tau rahasia istana era jkw lepas susah,netral,manual,1.0
Purbaya Yudhi Sadewa,demo dukung menkiu bijak rakyat purbayammd allaah menjg purbayaaamiin,positif,manual,1.0
Sri Mulyani Indrawati,pajakin teroooosssss efisiensi anggar tinggal naikin pajakkkk,negatif,manual,1.0
Sri Mulyani Indrawati,masyarakat indonesia udah kaya raya investasi masuk indo tingkat ,netral,manual,1.0
Purbaya Yudhi Sadewa,moga pur klrga dlm lindung allah swt orang jujur amanah tuju tuk selamat bangsa insya allah sllu lindung ,positif,manual,1.0
Sri Mulyani Indrawati,perintah malakin rakyat pajaknaikin cukupkarena negeri korupsi subur,negatif,manual,1.0
Purbaya Yudhi Sadewa,zaman prabowo keren cuman sayang hargo singkong anjlok parah potong gede tani singkong ancur zaman impor tapioka jalan kuota import full,positif,manual,1.0
Sri Mulyani Indrawati,turun sri mulyani kau udah kacau optimis perintah kayak gin,negatif,manual,1.0
Sri Mulyani Indrawati,sri mulyani kalo ngoceh suka kepinteran sesuai sesuai daya beli rakyat kalo apa dipajakin tarif dinaikin jaga sehat apbn bikin sakit kantong rakyat mblewer,negatif,manual,1.0
Sri Mulyani Indrawati,usaha beban pajak negara abis pph cekik,negatif,manual,1.0
Sri Mulyani Indrawati,biadab laknat ekonomi daya belihancur waris korupsi hutang pfoyek dungu kbijakan era jokowi bangkrut bngsa rakyat pngusaha pribumi bunuh pajakmematikaninipnghianatan rakyat bngsa mnnagkap koruptor pnyelewengan era jokowi luhutmalah rajyat dibunuhpnghianat bngsa hukum mati,negatif,manual,1.0
Purbaya Yudhi Sadewa,prabowo presiden cerdaswakilnya cerdas,positif,manual,1.0
Sri Mulyani Indrawati,sri mulyani yth sesal ekonomi negara leau datang jangan rakyat sengsara pajak pph udah tambah ppn naik biaya produksi tinggi ppn tambah sengsara lindung uu uu ayom rakyat menhisap darah rakyat tax ratio naik lah jangan merta enteng naik ppn jabat seh enak tinggal naik pajak lha rakyat gimana korupsi berantas enteng putus naik pajak anak muda pindah kewarganegaraan deh,negatif,manual,1.0
