text,tokoh,prediksi_label_raw,score_keyakinan,label_final
Pembantu mu banyak yg rusak paak,Purbaya Yudhi Sadewa,negative,0.9993694424629213,Negatif
Ia pa benar pasl 33 skarang pengusaha suasta smisal pT mempersulit kau lelaki sehingga pengangguran lki lki lebih byak dan yg dislhkan menyudutkan pemerintah.,Purbaya Yudhi Sadewa,negative,0.9994718432426452,Negatif
"Jangan Angguk angguk aja, Mentri Kehutanan,Lihat Rakyat Aceh Pada Nangis semua",Purbaya Yudhi Sadewa,negative,0.9993651509284972,Negatif
Susah di pecat kalau menterinya ketum parpol,Purbaya Yudhi Sadewa,negative,0.9965159893035888,Negatif
Kerusakan lingkungan tidak akan terjadi kalau penegak hukum menegakkan hukum.Tapi kalau penegak hukum main mata mereka harus bertanggung jawab.tak mampu menjawaydan mengatasi harus dipecat,Purbaya Yudhi Sadewa,negative,0.9990330934524536,Negatif
Menteri nakal di piara,Purbaya Yudhi Sadewa,negative,0.9993047714233398,Negatif
Fakta nya masih di nikmati oleh kaum kaum elit. Rakyat masih banyak sekali menderita walau ada program progam yg membantu rakyat fakta nya di korup dll,Purbaya Yudhi Sadewa,negative,0.999427318572998,Negatif
"Wkwkwk  jangankan menterinya, elu sendiri aja lambat banget kyk kura2",Purbaya Yudhi Sadewa,negative,0.9991081357002258,Negatif
Copot saja menteri yang lemot,Purbaya Yudhi Sadewa,negative,0.9991157650947572,Negatif
TUYUL IRENG BAHLIL ngapain duduk disana bareng menteri2? 🤣🤣🤣🤣🤣🤣,Purbaya Yudhi Sadewa,neutral,0.9972373247146606,Netral
Opung dengar tuh.,Purbaya Yudhi Sadewa,negative,0.9776334166526794,Negatif
Di pecat,Purbaya Yudhi Sadewa,negative,0.9991783499717712,Negatif
Sikat terus pk sahkan perampasan aset pk,Purbaya Yudhi Sadewa,neutral,0.9678161144256592,Netral
menteri sebelah kanan Menkeu tu buang aja!,Purbaya Yudhi Sadewa,neutral,0.9970284104347228,Netral
Bahlil tuh pak jewer kuping nya listrik udh bisa di pake buktinya nihil tuh di tmpt bencana,Purbaya Yudhi Sadewa,negative,0.997891128063202,Negatif
Uu kontrak karya pt freeport sd 2041 pak,Purbaya Yudhi Sadewa,neutral,0.998988687992096,Netral
Hapus semua undang2 yang menyengsarakan rakyat pak @prabowo subianto.,Purbaya Yudhi Sadewa,negative,0.9319135546684264,Negatif
"TERMAKSUd TAMBNG BATU BARA


tapi cuman dongeng",Purbaya Yudhi Sadewa,negative,0.7642821669578552,Negatif
Katanya ga boleh ragu2 utk kepetingan rakyat & negara tp jelas menjadi kanker bagi kemajuan negara yaitu korupsi kenapa ragu2 sekali berantas nya? Mana UU perampasan aset atau hukuman mati bagi koruptor? Jgn cm omon2 lah,Purbaya Yudhi Sadewa,negative,0.9987188577651978,Negatif
"Sehat-sehat ya bapak presidenku tercinta, saya sebagai rakyat mendukung arah tujuan bapak demi bangsa dan untuk rakyat❤",Purbaya Yudhi Sadewa,positive,0.9964285492897034,Positif
"jelas tidak bisa bergerak cepat, karena tidak sesuai dengan topoksinya, tidak berkompeten dalam bidang nya",Purbaya Yudhi Sadewa,negative,0.9993626475334167,Negatif
"Yhaaaelaaah,terlalu bertele-tele. Turun sajalah,dah jelas lu gak kompeten. Bencana nasional gak lu keluarin,buat nutup dosa usaha lu yg rusak alam sumatra.",Purbaya Yudhi Sadewa,negative,0.99942147731781,Negatif
Bahlul apa kabar?,Purbaya Yudhi Sadewa,negative,0.9640821814537048,Negatif
Koruptor dan mafia yang kalahkan negara.,Purbaya Yudhi Sadewa,negative,0.8278916478157043,Negatif
"Mudah mudahan terlaksana bukan hanya wacana saja.yg terpenting lapangan pekerjaan Pak untuk anak anak kita untuk rakyat Indonesia Agar mereka semua bekerja tidak pada nganggur,itu adalah salah satu tanggung jawab para pemegang kekuasaan di negara ini.semoga rakyat indonesia makmur damai dan sejahtera.Aamiin",Purbaya Yudhi Sadewa,positive,0.9742169380187988,Positif
"Menteri kehutanan mentri bahlil mentri zulhas itu di buang Pak ganti yg lebih baik, mereka masih menjabat nama Bapak bisa rusak Karena anak buah bapak yg gak becus kerja",Purbaya Yudhi Sadewa,negative,0.9993403553962708,Negatif
Jangan omon omon lg ya pak,Purbaya Yudhi Sadewa,negative,0.994564175605774,Negatif
Pecat luhut,Purbaya Yudhi Sadewa,negative,0.977665901184082,Negatif
