subjek,final_text,label,status,confidence
Sri Mulyani Indrawati,rakyat cape kena pajak makmur pegawai kantor pajak rakyat kompensasi tua negeri lulus negri,negatif,manual,1.0
Purbaya Yudhi Sadewa,salut beliau muncul menteri menteri jujur moga lindung allahsaya percaya beliau cerah indonesia,positif,manual,1.0
Purbaya Yudhi Sadewa,nilah jabat orang gila jabat,negatif,manual,1.0
Sri Mulyani Indrawati,bintang hutang,negatif,manual,1.0
Sri Mulyani Indrawati,sri mulyani juru kunci buruk kelola uang periode,negatif,manual,1.0
Purbaya Yudhi Sadewa,hambat berantas semangat purbaya bumn kasih contohjd pelopor rakyat dah bosen denger alas bumn slalu rugi,negatif,manual,1.0
Sri Mulyani Indrawati,mulyani kontaminasi mulyono,negatif,manual,1.0
Sri Mulyani Indrawati,benah internal pajak intesifkan,netral,manual,1.0
Purbaya Yudhi Sadewa,walo bagaimna purbaya harap rakyat,positif,manual,1.0
Sri Mulyani Indrawati,srimulap kotor rekor bocor anggar kalah orba aku prof sumitro icor kalah orba terang faisal basri skandal century bdni saksi prof rizal ramli dakwa blbi skandal cuci uang kemenkeu data ppatk prof mahfud cuci uang kemenkeu terang prof romli atmasasmita citra menkeu baik dunia berkalikali makelar utang negeri bunga,negatif,manual,1.0
Purbaya Yudhi Sadewa,achirnya ahok disingkirkankarena mayoritas koruptor,negatif,manual,1.0
Purbaya Yudhi Sadewa,moga nyata kontribusi bangsa negara indonesia,positif,manual,1.0
Sri Mulyani Indrawati,era perintah indonesia aparat ikut didik militer tugas gembleng mental nasionalis cinta nkri,positif,manual,1.0
Sri Mulyani Indrawati,mantulsmg indonesia nakmur,positif,manual,1.0
Sri Mulyani Indrawati,jaga apbn pajak trus belanja negara korupsi gimana trus uang masuk negara hilang jalan gimana trus jabat negara korup gimana negara hancur perintah bobrokbukan rakyat perintah cermin rakyat,negatif,manual,1.0
Purbaya Yudhi Sadewa,smoga bpk dlindungi allah swtsenang liat aura wajah bpkbpk orang amanah,positif,manual,1.0
Purbaya Yudhi Sadewa,iya prabowo ahli strategi literasinya moga serang oligargi hitam aamiin,negatif,manual,1.0
Purbaya Yudhi Sadewa,bismillah yuk sembah doa baik mustajab pimpin memng amanah,positif,manual,1.0
Sri Mulyani Indrawati,wanita hebat bumentri bintang wonder women,positif,manual,1.0
Purbaya Yudhi Sadewa,menteri bener sibuk pajakin palakin rakyat,negatif,manual,1.0
Sri Mulyani Indrawati,sri mulyani ayo hutang rakyat,negatif,manual,1.0
Purbaya Yudhi Sadewa,karna masyarakat indo minim literasi mudah kenal pola pikir komentar vidio ikut sampe,negatif,manual,1.0
Purbaya Yudhi Sadewa,andai andai menteri kabinet pur indonesia maju sejahtera,positif,manual,1.0
Sri Mulyani Indrawati,laksamana uang republik indonesia semangat sukses laksana negara indonesia cinta ,positif,manual,1.0
Purbaya Yudhi Sadewa,sabang samoai merauke ayo rakyat satu jaga purbaya moga ujung tombak membrantas jabat zolim busuk ygsama pro rakyat boropro jajah siksa rakyat,positif,manual,1.0
Purbaya Yudhi Sadewa,uang tdk sejahtera bangsa rakyat indonesia sejahtera,positif,manual,1.0
Sri Mulyani Indrawati,tinggal sri mulyani indonesia berdarahdarah peres pajak,negatif,manual,1.0
